Age,Team,Group,Position,Name,DOB,Caps,Goals,Country and Club
26,Russia,A,GK,Andrey Lunyov,13-11-91,3,0,Russia Zenit Saint Petersburg
32,Russia,A,GK,Igor Akinfeev (captain),08-04-86,104,0,Russia CSKA Moscow
34,Russia,A,GK,Vladimir Gabulov,19-10-83,10,0,Belgium Club Brugge
27,Russia,A,MF,Alan Dzagoev,17-06-90,55,9,Russia CSKA Moscow
22,Russia,A,MF,Aleksandr Golovin,30-05-96,17,2,Russia CSKA Moscow
33,Russia,A,MF,Aleksandr Samedov,19-07-84,46,6,Russia Spartak Moscow
28,Russia,A,MF,Aleksandr Yerokhin,13-10-89,17,0,Russia Zenit Saint Petersburg
22,Russia,A,MF,Anton Miranchuk,17-10-95,4,0,Russia Lokomotiv Moscow
25,Russia,A,MF,Daler Kuzyayev,15-01-93,4,0,Russia Zenit Saint Petersburg
27,Russia,A,MF,Denis Cheryshev,26-12-90,10,0,Spain Villarreal
24,Russia,A,MF,Roman Zobnin,11-02-94,10,0,Russia Spartak Moscow
34,Russia,A,MF,Yuri Zhirkov,20-08-83,82,2,Russia Zenit Saint Petersburg
28,Russia,A,MF,Yury Gazinsky,20-07-89,5,0,Russia Krasnodar
28,Saudi Arabia,A,DF,Ali Al Bulaihi,21-11-89,1,0,Saudi Arabia Al-Hilal
30,Saudi Arabia,A,DF,Mansoor Al-Harbi,19-10-87,37,1,Saudi Arabia Al-Ahli
25,Saudi Arabia,A,DF,Mohammed Al-Breik,15-09-92,9,1,Saudi Arabia Al-Hilal
26,Saudi Arabia,A,DF,Motaz Hawsawi,17-02-92,15,0,Saudi Arabia Al-Ahli
32,Saudi Arabia,A,DF,Omar Hawsawi,27-09-85,40,3,Saudi Arabia Al-Nassr
34,Saudi Arabia,A,DF,Osama Hawsawi (captain),31-03-84,133,7,Saudi Arabia Al-Hilal
26,Saudi Arabia,A,DF,Yasser Al-Shahrani,25-05-92,34,0,Saudi Arabia Al-Hilal
23,Saudi Arabia,A,FW,Fahad Al-Muwallad,14-09-94,42,10,Spain Levante
31,Saudi Arabia,A,FW,Mohammad Al-Sahlawi,10-01-87,38,28,Saudi Arabia Al-Nassr
31,Saudi Arabia,A,FW,Muhannad Assiri,14-10-86,17,4,Saudi Arabia Al-Ahli
31,Saudi Arabia,A,GK,Abdullah Al-Mayouf,23-01-87,9,0,Saudi Arabia Al-Hilal
26,Saudi Arabia,A,GK,Mohammed Al-Owais,10-10-91,5,0,Saudi Arabia Al-Ahli
34,Saudi Arabia,A,GK,Yasser Al Mosailem,27-02-84,32,0,Saudi Arabia Al-Ahli
21,Saudi Arabia,A,MF,Abdullah Al-Khaibari,16-08-96,3,0,Saudi Arabia Al-Shabab
25,Saudi Arabia,A,MF,Abdullah Otayf,03-08-92,14,1,Saudi Arabia Al-Hilal
32,Saudi Arabia,A,MF,Abdulmalek Al-Khaibri,13-03-86,35,0,Saudi Arabia Al-Hilal
25,Saudi Arabia,A,MF,Hattan Bahebri,16-07-92,3,0,Saudi Arabia Al-Shabab
30,Saudi Arabia,A,MF,Housain Al-Mogahwi,28-01-88,15,1,Saudi Arabia Al-Ahli
23,Saudi Arabia,A,MF,Mohamed Kanno,22-09-94,5,1,Saudi Arabia Al-Hilal
26,Saudi Arabia,A,MF,Salem Al-Dawsari,19-08-91,30,4,Spain Villarreal
28,Saudi Arabia,A,MF,Salman Al-Faraj,01-08-89,40,3,Saudi Arabia Al-Hilal
33,Saudi Arabia,A,MF,Taisir Al-Jassim,25-07-84,129,18,Saudi Arabia Al-Ahli
27,Saudi Arabia,A,MF,Yahya Al-Shehri,26-06-90,55,7,Spain Leganés
32,Uruguay,A,DF,Diego Godín (captain),16-02-86,115,8,Spain Atlético Madrid
24,Uruguay,A,DF,Gastón Silva,05-03-94,17,0,Argentina Independiente
25,Uruguay,A,DF,Guillermo Varela,24-03-93,3,0,Uruguay Peñarol
23,Uruguay,A,DF,José Giménez,20-01-95,41,4,Spain Atlético Madrid
31,Uruguay,A,DF,Martín Cáceres,07-04-87,75,4,Italy Lazio
34,Uruguay,A,DF,Maxi Pereira,08-06-84,124,3,Portugal Porto
27,Uruguay,A,DF,Sebastián Coates,07-10-90,30,1,Portugal Sporting CP
31,Uruguay,A,FW,Cristhian Stuani,10-12-86,40,5,Spain Girona
31,Uruguay,A,FW,Edinson Cavani,14-02-87,100,42,France Paris Saint-Germain
31,Uruguay,A,FW,Luis Suárez,24-01-87,97,50,Spain Barcelona
21,Uruguay,A,FW,Maxi Gómez,14-08-96,4,0,Spain Celta Vigo
31,Uruguay,A,GK,Fernando Muslera,16-06-86,96,0,Turkey Galatasaray
29,Uruguay,A,GK,Martín Campaña,29-05-89,1,0,Argentina Independiente
35,Uruguay,A,GK,Martín Silva,23-03-83,11,0,Brazil Vasco da Gama
33,Uruguay,A,MF,Carlos Sánchez,02-12-84,35,1,Mexico Monterrey
32,Uruguay,A,MF,Cristian Rodríguez,30-09-85,104,11,Uruguay Peñarol
25,Uruguay,A,MF,Diego Laxalt,07-02-93,5,0,Italy Genoa
24,Uruguay,A,MF,Giorgian De Arrascaeta,01-05-94,13,1,Brazil Cruzeiro
28,Uruguay,A,MF,Jonathan Urretaviscaya,19-03-90,4,0,Mexico Monterrey
22,Uruguay,A,MF,Lucas Torreira,11-02-96,2,0,Italy Sampdoria
26,Uruguay,A,MF,Matías Vecino,24-08-91,21,1,Italy Internazionale
22,Uruguay,A,MF,Nahitan Nández,28-12-95,11,0,Argentina Boca Juniors
21,Uruguay,A,MF,Rodrigo Bentancur,05-06-97,6,0,Italy Juventus
21,Iran,B,DF,Majid Hosseini,20-06-96,0,0,Iran Esteghlal
24,Iran,B,DF,Milad Mohammadi,29-09-93,16,0,Russia Akhmat Grozny
27,Iran,B,DF,Mohammad Reza Khanzadeh,11-05-91,10,1,Iran Padideh
26,Iran,B,DF,Morteza Pouraliganji,19-04-92,25,2,Qatar Al-Sadd
34,Iran,B,DF,Pejman Montazeri,06-09-83,45,1,Iran Esteghlal
28,Iran,B,DF,Ramin Rezaeian,21-03-90,26,2,Belgium Oostende
24,Iran,B,DF,Rouzbeh Cheshmi,24-07-93,7,0,Iran Esteghlal
24,Iran,B,FW,Alireza Jahanbakhsh,11-08-93,36,4,Netherlands AZ
28,Iran,B,FW,Karim Ansarifard,03-04-90,61,16,Greece Olympiacos
25,Iran,B,FW,Mehdi Taremi,18-07-92,23,11,Qatar Al-Gharafa
30,Iran,B,FW,Reza Ghoochannejhad,20-09-87,40,17,Netherlands Heerenveen
23,Iran,B,FW,Sardar Azmoun,01-01-95,31,23,Russia Rubin Kazan
25,Iran,B,GK,Alireza Beiranvand,21-09-92,20,0,Iran Persepolis
25,Iran,B,GK,Amir Abedzadeh,26-04-93,0,0,Portugal Marítimo
29,Iran,B,GK,Mohammad Rashid Mazaheri,18-05-89,3,0,Iran Zob Ahan Esfahan
32,Iran,B,MF,Ashkan Dejagah,05-06-86,44,8,England Nottingham Forest
28,Iran,B,MF,Ehsan Hajsafi,25-02-90,91,6,Greece Olympiacos
34,Iran,B,MF,Masoud Shojaei (captain),09-06-84,72,8,Greece AEK Athens
23,Iran,B,MF,Mehdi Torabi,10-09-94,14,4,Iran Saipa
30,Iran,B,MF,Omid Ebrahimi,16-09-87,28,0,Iran Esteghlal
21,Iran,B,MF,Saeid Ezatolahi,01-10-96,24,1,Russia Amkar Perm
24,Iran,B,MF,Saman Ghoddos,06-09-93,6,1,Sweden Östersund
30,Iran,B,MF,Vahid Amiri,02-04-88,33,1,Iran Persepolis
19,Morocco,B,DF,Achraf Hakimi,04-11-98,7,1,Spain Real Madrid
20,Morocco,B,DF,Hamza Mendyl,21-10-97,11,0,France Lille
32,Morocco,B,DF,Manuel da Costa,06-05-86,25,1,Turkey ?stanbul Ba?ak?ehir
31,Morocco,B,DF,Medhi Benatia (captain),17-04-87,54,2,Italy Juventus
32,Morocco,B,DF,Nabil Dirar,25-02-86,34,3,Turkey Fenerbahçe
28,Morocco,B,DF,Romain Saïss,26-03-90,21,1,England Wolverhampton Wanderers
24,Morocco,B,FW,Ayoub El Kaabi,26-06-93,8,10,Morocco RS Berkane
31,Morocco,B,FW,Aziz Bouhaddouz,29-01-87,13,3,Germany FC St. Pauli
31,Morocco,B,FW,Khalid Boutaïb,24-04-87,15,7,Turkey Yeni Malatyaspor
21,Morocco,B,FW,Youssef En-Nesyri,01-06-97,15,1,Spain Málaga
22,Morocco,B,GK,Ahmed Reda Tagnaouti,05-04-96,2,0,Morocco IR Tanger
29,Morocco,B,GK,Munir Mohamedi,10-05-89,25,0,Spain Numancia
27,Morocco,B,GK,Yassine Bounou,05-04-91,10,0,Spain Girona
20,Morocco,B,MF,Amine Harit,18-06-97,3,0,Germany Schalke 04
29,Morocco,B,MF,Fayçal Fajr,01-08-88,21,2,Spain Getafe
25,Morocco,B,MF,Hakim Ziyech,19-03-93,15,8,Netherlands Ajax
33,Morocco,B,MF,Karim El Ahmadi,27-01-85,48,1,Netherlands Feyenoord
33,Morocco,B,MF,Mbark Boussoufa,15-08-84,56,7,United Arab Emirates Al-Jazira
28,Morocco,B,MF,Mehdi Carcela,01-07-89,19,1,Belgium Standard Liège
31,Morocco,B,MF,Nordin Amrabat,31-03-87,41,4,Spain Leganés
21,Morocco,B,MF,Sofyan Amrabat,21-08-96,4,0,Netherlands Feyenoord
28,Morocco,B,MF,Younès Belhanda,25-02-90,44,3,Turkey Galatasaray
21,Morocco,B,MF,Youssef Aït Bennasser,07-07-96,11,0,France Caen
36,Portugal,B,DF,Bruno Alves,27-11-81,95,11,Scotland Rangers
26,Portugal,B,DF,Cédric,31-08-91,26,1,England Southampton
34,Portugal,B,DF,José Fonte,22-12-83,28,0,China Dalian Yifang
27,Portugal,B,DF,Mário Rui,27-05-91,1,0,Italy Napoli
35,Portugal,B,DF,Pepe,26-02-83,92,5,Turkey Be?ikta?
24,Portugal,B,DF,Raphaël Guerreiro,22-12-93,21,2,Germany Borussia Dortmund
24,Portugal,B,DF,Ricardo Pereira,06-10-93,3,0,Portugal Porto
21,Portugal,B,DF,Rúben Dias,14-05-97,0,0,Portugal Benfica
22,Portugal,B,FW,André Silva,06-11-95,20,11,Italy Milan
33,Portugal,B,FW,Cristiano Ronaldo (captain),05-02-85,149,81,Spain Real Madrid
23,Portugal,B,FW,Gelson Martins,11-05-95,17,0,Portugal Sporting CP
21,Portugal,B,FW,Gonçalo Guedes,29-11-96,7,1,Spain Valencia
34,Portugal,B,FW,Ricardo Quaresma,26-09-83,74,9,Turkey Be?ikta?
27,Portugal,B,GK,Anthony Lopes,01-10-90,6,0,France Lyon
36,Portugal,B,GK,Beto,01-06-82,13,0,Turkey Göztepe
30,Portugal,B,GK,Rui Patrício,15-02-88,68,0,Portugal Sporting CP
29,Portugal,B,MF,Adrien Silva,15-03-89,21,1,England Leicester City
23,Portugal,B,MF,Bernardo Silva,10-08-94,22,2,England Manchester City
23,Portugal,B,MF,Bruno Fernandes,08-09-94,4,0,Portugal Sporting CP
25,Portugal,B,MF,João Mário,19-01-93,33,1,England West Ham United
31,Portugal,B,MF,João Moutinho,08-09-86,107,7,France Monaco
32,Portugal,B,MF,Manuel Fernandes,05-02-86,12,3,Russia Lokomotiv Moscow
26,Portugal,B,MF,William Carvalho,07-04-92,40,2,Portugal Sporting CP
22,Spain,B,DF,Álvaro Odriozola,14-12-95,2,0,Spain Real Sociedad
28,Spain,B,DF,César Azpilicueta,28-08-89,21,0,England Chelsea
26,Spain,B,DF,Dani Carvajal,11-01-92,15,0,Spain Real Madrid
31,Spain,B,DF,Gerard Piqué,02-02-87,96,5,Spain Barcelona
29,Spain,B,DF,Jordi Alba,21-03-89,60,8,Spain Barcelona
28,Spain,B,DF,Nacho,18-01-90,15,0,Spain Real Madrid
32,Spain,B,DF,Nacho Monreal,26-02-86,21,1,England Arsenal
32,Spain,B,DF,Sergio Ramos (captain),30-03-86,151,13,Spain Real Madrid
29,Spain,B,FW,Diego Costa,07-10-88,18,7,Spain Atlético Madrid
30,Spain,B,FW,Iago Aspas,01-08-87,8,4,Spain Celta Vigo
26,Spain,B,FW,Lucas Vázquez,01-07-91,5,0,Spain Real Madrid
22,Spain,B,FW,Marco Asensio,21-01-96,10,0,Spain Real Madrid
27,Spain,B,FW,Rodrigo,06-03-91,4,2,Spain Valencia
27,Spain,B,GK,David de Gea,07-11-90,27,0,England Manchester United
23,Spain,B,GK,Kepa Arrizabalaga,03-10-94,1,0,Spain Athletic Bilbao
35,Spain,B,GK,Pepe Reina,31-08-82,36,0,Italy Napoli
34,Spain,B,MF,Andrés Iniesta,11-05-84,125,14,Spain Barcelona
32,Spain,B,MF,David Silva,08-01-86,119,35,England Manchester City
26,Spain,B,MF,Isco,21-04-92,27,10,Spain Real Madrid
26,Spain,B,MF,Koke,08-01-92,38,0,Spain Atlético Madrid
23,Spain,B,MF,Saúl,21-11-94,9,0,Spain Atlético Madrid
29,Spain,B,MF,Sergio Busquets,16-07-88,102,2,Spain Barcelona
27,Spain,B,MF,Thiago,11-04-91,27,2,Germany Bayern Munich
27,Australia,C,DF,Aziz Behich,16-10-90,21,2,Turkey Bursaspor
30,Australia,C,DF,James Meredith,04-04-88,2,0,England Millwall
25,Australia,C,DF,Josh Risdon,27-07-92,6,0,Australia Western Sydney Wanderers
28,Australia,C,DF,Matthew Jurman,08-12-89,4,0,South Korea Suwon Samsung Bluewings
24,Australia,C,DF,Milos Degenek,28-04-94,17,0,Japan Yokohama F. Marinos
26,Australia,C,DF,Trent Sainsbury,05-01-92,33,3,Switzerland Grasshoppers
25,Australia,C,FW,Andrew Nabbout,17-12-92,2,0,Japan Urawa Red Diamonds
24,Australia,C,FW,Jamie Maclaren,29-07-93,6,0,Scotland Hibernian
27,Australia,C,FW,Mathew Leckie,04-02-91,51,6,Germany Hertha BSC
29,Australia,C,FW,Robbie Kruse,05-10-88,62,5,Germany VfL Bochum
38,Australia,C,FW,Tim Cahill,06-12-79,105,50,England Millwall
26,Australia,C,FW,Tomi Juric,22-07-91,34,8,Switzerland Luzern
36,Australia,C,GK,Brad Jones,19-03-82,5,0,Netherlands Feyenoord
33,Australia,C,GK,Danny Vukovic,27-03-85,1,0,Belgium Genk
26,Australia,C,GK,Mathew Ryan,08-04-92,42,0,England Brighton & Hove Albion
27,Australia,C,MF,Aaron Mooy,15-09-90,32,5,England Huddersfield Town
19,Australia,C,MF,Daniel Arzani,04-01-99,0,0,Australia Melbourne City
25,Australia,C,MF,Dimitri Petratos,10-11-92,1,0,Australia Newcastle Jets
25,Australia,C,MF,Jackson Irvine,07-03-93,17,2,England Hull City
32,Australia,C,MF,Mark Milligan,04-08-85,69,6,Saudi Arabia Al-Ahli
25,Australia,C,MF,Massimo Luongo,25-09-92,34,5,England Queens Park Rangers
33,Australia,C,MF,Mile Jedinak (captain),03-08-84,75,18,England Aston Villa
25,Australia,C,MF,Tom Rogic,16-12-92,35,7,Scotland Celtic
22,Denmark,C,DF,Andreas Christensen,10-04-96,14,1,England Chelsea
28,Denmark,C,DF,Henrik Dalsgaard,27-07-89,9,0,England Brentford
25,Denmark,C,DF,Jannik Vestergaard,03-08-92,15,1,Germany Borussia Mönchengladbach
27,Denmark,C,DF,Jens Stryger Larsen,21-02-91,11,1,Italy Udinese
25,Denmark,C,DF,Jonas Knudsen,16-09-92,3,0,England Ipswich Town
28,Denmark,C,DF,Mathias Jørgensen,23-04-90,12,0,England Huddersfield Town
29,Denmark,C,DF,Simon Kjær (captain),26-03-89,76,3,Spain Sevilla
25,Denmark,C,FW,Andreas Cornelius,16-03-93,18,4,Italy Atalanta
20,Denmark,C,FW,Kasper Dolberg,06-10-97,4,1,Netherlands Ajax
27,Denmark,C,FW,Martin Braithwaite,05-06-91,18,1,France Bordeaux
27,Denmark,C,FW,Nicolai Jørgensen,15-01-91,29,8,Netherlands Feyenoord
24,Denmark,C,FW,Viktor Fischer,09-06-94,17,3,Denmark Copenhagen
23,Denmark,C,FW,Yussuf Poulsen,15-06-94,26,3,Germany RB Leipzig
25,Denmark,C,GK,Frederik Rønnow,04-08-92,6,0,Denmark Brøndby
29,Denmark,C,GK,Jonas Lössl,01-02-89,1,0,England Huddersfield Town
31,Denmark,C,GK,Kasper Schmeichel,05-11-86,33,0,England Leicester City
26,Denmark,C,MF,Christian Eriksen,14-02-92,77,21,England Tottenham Hotspur
32,Denmark,C,MF,Lasse Schöne,27-05-86,34,3,Netherlands Ajax
24,Denmark,C,MF,Lukas Lerager,12-07-93,3,0,France Bordeaux
35,Denmark,C,MF,Michael Krohn-Dehli,06-06-83,57,6,Spain Deportivo La Coruña
23,Denmark,C,MF,Pione Sisto,04-02-95,12,1,Spain Celta Vigo
26,Denmark,C,MF,Thomas Delaney,03-09-91,25,4,Germany Werder Bremen
33,Denmark,C,MF,William Kvist,24-02-85,78,2,Denmark Copenhagen
32,France,C,DF,Adil Rami,27-12-85,33,1,France Marseille
23,France,C,DF,Benjamin Mendy,17-07-94,4,0,England Manchester City
22,France,C,DF,Benjamin Pavard,28-03-96,3,0,Germany VfB Stuttgart
25,France,C,DF,Djibril Sidibé,29-07-92,15,1,France Monaco
22,France,C,DF,Lucas Hernández,14-02-96,2,0,Spain Atlético Madrid
22,France,C,DF,Presnel Kimpembe,13-08-95,1,0,France Paris Saint-Germain
25,France,C,DF,Raphaël Varane,25-04-93,41,2,Spain Real Madrid
24,France,C,DF,Samuel Umtiti,14-11-93,16,1,Spain Barcelona
27,France,C,FW,Antoine Griezmann,21-03-91,51,19,Spain Atlético Madrid
25,France,C,FW,Florian Thauvin,26-01-93,3,0,France Marseille
19,France,C,FW,Kylian Mbappé,20-12-98,12,3,France Paris Saint-Germain
24,France,C,FW,Nabil Fekir,18-07-93,10,1,France Lyon
31,France,C,FW,Olivier Giroud,30-09-86,71,30,England Chelsea
21,France,C,FW,Ousmane Dembélé,15-05-97,9,1,Spain Barcelona
25,France,C,GK,Alphonse Areola,27-02-93,0,0,France Paris Saint-Germain
31,France,C,GK,Hugo Lloris (captain),26-12-86,96,0,England Tottenham Hotspur
33,France,C,GK,Steve Mandanda,28-03-85,26,0,France Marseille
31,France,C,MF,Blaise Matuidi,09-04-87,64,9,Italy Juventus
23,France,C,MF,Corentin Tolisso,03-08-94,6,0,Germany Bayern Munich
27,France,C,MF,N'Golo Kanté,29-03-91,22,1,England Chelsea
25,France,C,MF,Paul Pogba,15-03-93,51,9,England Manchester United
29,France,C,MF,Steven Nzonzi,15-12-88,2,0,Spain Sevilla
22,France,C,MF,Thomas Lemar,12-11-95,10,3,France Monaco
34,Peru,C,DF,Alberto Rodríguez,31-05-84,58,0,Colombia Atlético Junior
29,Peru,C,DF,Aldo Corzo,20-05-89,23,0,Peru Universitario
26,Peru,C,DF,Anderson Santamaría,10-01-92,2,0,Mexico Puebla
29,Peru,C,DF,Christian Ramos,04-11-88,63,3,Mexico Veracruz
28,Peru,C,DF,Luis Advíncula,02-03-90,62,0,Mexico Lobos BUAP
23,Peru,C,DF,Miguel Araujo,24-10-94,2,0,Peru Alianza Lima
25,Peru,C,DF,Miguel Trauco,25-08-92,24,0,Brazil Flamengo
23,Peru,C,DF,Nilson Loyola,26-10-94,3,0,Peru FBC Melgar
27,Peru,C,FW,André Carrillo,14-06-91,42,4,England Watford
23,Peru,C,FW,Andy Polo,29-09-94,15,1,United States Portland Timbers
33,Peru,C,FW,Jefferson Farfán,26-10-84,81,24,Russia Lokomotiv Moscow
34,Peru,C,FW,Paolo Guerrero (captain),01-01-84,87,34,Brazil Flamengo
27,Peru,C,FW,Paolo Hurtado,27-07-90,29,3,Portugal Vitória de Guimarães
27,Peru,C,FW,Raúl Ruidíaz,25-07-90,29,4,Mexico Morelia
26,Peru,C,GK,Carlos Cáceda,27-09-91,4,0,Peru Deportivo Municipal
32,Peru,C,GK,José Carvallo,01-03-86,5,0,Peru UTC
28,Peru,C,GK,Pedro Gallese,23-04-90,36,0,Mexico Veracruz
26,Peru,C,MF,Christian Cueva,23-11-91,41,7,Brazil São Paulo
24,Peru,C,MF,Edison Flores,14-05-94,26,9,Denmark AaB
23,Peru,C,MF,Pedro Aquino,13-04-95,10,0,Mexico Lobos BUAP
22,Peru,C,MF,Renato Tapia,28-07-95,20,1,Netherlands Feyenoord
23,Peru,C,MF,Wilder Cartagena,23-09-94,2,0,Mexico Veracruz
28,Peru,C,MF,Yoshimar Yotún,07-04-90,70,2,United States Orlando City
31,Argentina,D,DF,Cristian Ansaldi,20-09-86,5,0,Italy Torino
27,Argentina,D,DF,Eduardo Salvio,13-07-90,8,0,Portugal Benfica
31,Argentina,D,DF,Federico Fazio,30-01-87,8,1,Italy Roma
31,Argentina,D,DF,Gabriel Mercado,18-03-87,20,3,Spain Sevilla
34,Argentina,D,DF,Javier Mascherano,08-06-84,142,3,China Hebei China Fortune
26,Argentina,D,DF,Marcos Acuña,28-10-91,9,0,Portugal Sporting CP
27,Argentina,D,DF,Marcos Rojo,28-11-90,55,2,England Manchester United
29,Argentina,D,DF,Nicolás Otamendi,05-07-88,53,4,England Manchester City
25,Argentina,D,DF,Nicolás Tagliafico,31-08-92,3,0,Netherlands Ajax
30,Argentina,D,FW,Gonzalo Higuaín,10-12-87,70,31,Italy Juventus
30,Argentina,D,FW,Lionel Messi (captain),24-06-87,123,61,Spain Barcelona
24,Argentina,D,FW,Paulo Dybala,15-11-93,12,0,Italy Juventus
30,Argentina,D,FW,Sergio Agüero,02-06-88,84,36,England Manchester City
31,Argentina,D,GK,Franco Armani,16-10-86,0,0,Argentina River Plate
32,Argentina,D,GK,Nahuel Guzmán,10-02-86,6,0,Mexico UANL
36,Argentina,D,GK,Willy Caballero,28-09-81,2,0,England Chelsea
30,Argentina,D,MF,Ángel Di María,21-05-88,93,19,France Paris Saint-Germain
22,Argentina,D,MF,Cristian Pavón,21-01-96,4,0,Argentina Boca Juniors
29,Argentina,D,MF,Éver Banega,29-06-88,61,6,Spain Sevilla
22,Argentina,D,MF,Giovani Lo Celso,09-04-96,4,0,France Paris Saint-Germain
32,Argentina,D,MF,Lucas Biglia,30-01-86,36,1,Italy Milan
25,Argentina,D,MF,Manuel Lanzini,13-02-93,3,1,England West Ham United
26,Argentina,D,MF,Maximiliano Meza,15-01-92,1,0,Argentina Independiente
28,Croatia,D,DF,Dejan Lovren,05-07-89,37,2,England Liverpool
29,Croatia,D,DF,Domagoj Vida,29-04-89,57,2,Turkey Be?ikta?
21,Croatia,D,DF,Duje ?aleta-Car,17-09-96,0,0,Austria Red Bull Salzburg
30,Croatia,D,DF,Ivan Strini?,17-07-87,42,0,Italy Sampdoria
29,Croatia,D,DF,Josip Pivari?,30-01-89,19,0,Ukraine Dynamo Kyiv
26,Croatia,D,DF,Šime Vrsaljko,10-01-92,34,0,Spain Atlético Madrid
22,Croatia,D,DF,Tin Jedvaj,28-11-95,10,0,Germany Bayer Leverkusen
32,Croatia,D,DF,Vedran ?orluka,05-02-86,97,4,Russia Lokomotiv Moscow
26,Croatia,D,FW,Andrej Kramari?,19-06-91,29,8,Germany 1899 Hoffenheim
24,Croatia,D,FW,Ante Rebi?,21-09-93,14,1,Germany Eintracht Frankfurt
29,Croatia,D,FW,Ivan Periši?,02-02-89,64,17,Italy Internazionale
32,Croatia,D,FW,Mario Mandžuki?,21-05-86,82,30,Italy Juventus
23,Croatia,D,FW,Marko Pjaca,06-05-95,15,1,Germany Schalke 04
30,Croatia,D,FW,Nikola Kalini?,05-01-88,41,15,Italy Milan
33,Croatia,D,GK,Danijel Subaši?,27-10-84,36,0,France Monaco
23,Croatia,D,GK,Dominik Livakovi?,09-01-95,1,0,Croatia Dinamo Zagreb
28,Croatia,D,GK,Lovre Kalini?,03-04-90,10,0,Belgium Gent
26,Croatia,D,MF,Filip Bradari?,11-01-92,3,0,Croatia Rijeka
30,Croatia,D,MF,Ivan Rakiti?,10-03-88,90,14,Spain Barcelona
32,Croatia,D,MF,Luka Modri? (captain),09-09-85,104,12,Spain Real Madrid
25,Croatia,D,MF,Marcelo Brozovi?,16-11-92,33,6,Italy Internazionale
24,Croatia,D,MF,Mateo Kova?i?,06-05-94,39,1,Spain Real Madrid
29,Croatia,D,MF,Milan Badelj,25-02-89,36,1,Italy Fiorentina
31,Iceland,D,DF,Ari Freyr Skúlason,14-05-87,54,0,Belgium Lokeren
33,Iceland,D,DF,Birkir Már Sævarsson,11-11-84,78,1,Iceland Valur
27,Iceland,D,DF,Hólmar Örn Eyjólfsson,06-08-90,9,1,Bulgaria Levski Sofia
25,Iceland,D,DF,Hörður Björgvin Magnússon,11-02-93,15,2,England Bristol City
35,Iceland,D,DF,Kári Árnason,13-10-82,65,4,Scotland Aberdeen
31,Iceland,D,DF,Ragnar Sigurðsson,19-06-86,75,3,Russia Rostov
22,Iceland,D,DF,Samúel Friðjónsson,22-02-96,3,0,Norway Vålerenga
